PING 10.0.0.14 (10.0.0.14) 56(84) bytes of data.
64 bytes from 10.0.0.14: icmp_seq=1 ttl=64 time=26.7 ms
64 bytes from 10.0.0.14: icmp_seq=2 ttl=64 time=26.8 ms
64 bytes from 10.0.0.14: icmp_seq=3 ttl=64 time=24.1 ms
64 bytes from 10.0.0.14: icmp_seq=4 ttl=64 time=23.5 ms
64 bytes from 10.0.0.14: icmp_seq=5 ttl=64 time=25.0 ms
64 bytes from 10.0.0.14: icmp_seq=6 ttl=64 time=37.0 ms
64 bytes from 10.0.0.14: icmp_seq=7 ttl=64 time=30.2 ms
64 bytes from 10.0.0.14: icmp_seq=8 ttl=64 time=29.0 ms
64 bytes from 10.0.0.14: icmp_seq=9 ttl=64 time=24.5 ms
64 bytes from 10.0.0.14: icmp_seq=10 ttl=64 time=23.7 ms
64 bytes from 10.0.0.14: icmp_seq=11 ttl=64 time=27.2 ms
64 bytes from 10.0.0.14: icmp_seq=12 ttl=64 time=26.3 ms
64 bytes from 10.0.0.14: icmp_seq=13 ttl=64 time=25.8 ms
64 bytes from 10.0.0.14: icmp_seq=14 ttl=64 time=24.5 ms
64 bytes from 10.0.0.14: icmp_seq=15 ttl=64 time=30.7 ms
64 bytes from 10.0.0.14: icmp_seq=16 ttl=64 time=25.8 ms
64 bytes from 10.0.0.14: icmp_seq=17 ttl=64 time=24.9 ms
64 bytes from 10.0.0.14: icmp_seq=18 ttl=64 time=25.6 ms
64 bytes from 10.0.0.14: icmp_seq=19 ttl=64 time=23.2 ms
64 bytes from 10.0.0.14: icmp_seq=20 ttl=64 time=32.1 ms
64 bytes from 10.0.0.14: icmp_seq=21 ttl=64 time=24.8 ms
64 bytes from 10.0.0.14: icmp_seq=22 ttl=64 time=30.7 ms
64 bytes from 10.0.0.14: icmp_seq=23 ttl=64 time=24.6 ms
64 bytes from 10.0.0.14: icmp_seq=24 ttl=64 time=24.9 ms
64 bytes from 10.0.0.14: icmp_seq=25 ttl=64 time=23.2 ms
64 bytes from 10.0.0.14: icmp_seq=26 ttl=64 time=36.4 ms
64 bytes from 10.0.0.14: icmp_seq=27 ttl=64 time=23.7 ms
64 bytes from 10.0.0.14: icmp_seq=28 ttl=64 time=25.5 ms
64 bytes from 10.0.0.14: icmp_seq=29 ttl=64 time=23.5 ms
64 bytes from 10.0.0.14: icmp_seq=30 ttl=64 time=25.1 ms
64 bytes from 10.0.0.14: icmp_seq=31 ttl=64 time=25.8 ms
64 bytes from 10.0.0.14: icmp_seq=32 ttl=64 time=23.9 ms
64 bytes from 10.0.0.14: icmp_seq=33 ttl=64 time=27.6 ms
64 bytes from 10.0.0.14: icmp_seq=34 ttl=64 time=24.4 ms
64 bytes from 10.0.0.14: icmp_seq=35 ttl=64 time=26.2 ms
64 bytes from 10.0.0.14: icmp_seq=36 ttl=64 time=26.4 ms
64 bytes from 10.0.0.14: icmp_seq=37 ttl=64 time=24.2 ms
64 bytes from 10.0.0.14: icmp_seq=38 ttl=64 time=32.6 ms
64 bytes from 10.0.0.14: icmp_seq=39 ttl=64 time=23.6 ms
64 bytes from 10.0.0.14: icmp_seq=40 ttl=64 time=28.0 ms
64 bytes from 10.0.0.14: icmp_seq=41 ttl=64 time=24.4 ms
64 bytes from 10.0.0.14: icmp_seq=42 ttl=64 time=27.0 ms
64 bytes from 10.0.0.14: icmp_seq=43 ttl=64 time=31.2 ms
64 bytes from 10.0.0.14: icmp_seq=44 ttl=64 time=33.2 ms
64 bytes from 10.0.0.14: icmp_seq=45 ttl=64 time=24.0 ms
64 bytes from 10.0.0.14: icmp_seq=46 ttl=64 time=33.2 ms
64 bytes from 10.0.0.14: icmp_seq=47 ttl=64 time=25.8 ms
64 bytes from 10.0.0.14: icmp_seq=48 ttl=64 time=27.8 ms
64 bytes from 10.0.0.14: icmp_seq=49 ttl=64 time=34.9 ms
64 bytes from 10.0.0.14: icmp_seq=50 ttl=64 time=33.2 ms
64 bytes from 10.0.0.14: icmp_seq=51 ttl=64 time=26.7 ms
64 bytes from 10.0.0.14: icmp_seq=52 ttl=64 time=33.1 ms
64 bytes from 10.0.0.14: icmp_seq=53 ttl=64 time=25.3 ms
64 bytes from 10.0.0.14: icmp_seq=54 ttl=64 time=31.2 ms
64 bytes from 10.0.0.14: icmp_seq=55 ttl=64 time=23.8 ms
64 bytes from 10.0.0.14: icmp_seq=56 ttl=64 time=25.0 ms
64 bytes from 10.0.0.14: icmp_seq=57 ttl=64 time=24.2 ms
64 bytes from 10.0.0.14: icmp_seq=58 ttl=64 time=32.9 ms
64 bytes from 10.0.0.14: icmp_seq=59 ttl=64 time=40.1 ms
64 bytes from 10.0.0.14: icmp_seq=60 ttl=64 time=58.6 ms
64 bytes from 10.0.0.14: icmp_seq=61 ttl=64 time=24.6 ms
64 bytes from 10.0.0.14: icmp_seq=62 ttl=64 time=34.3 ms
64 bytes from 10.0.0.14: icmp_seq=63 ttl=64 time=29.0 ms
64 bytes from 10.0.0.14: icmp_seq=64 ttl=64 time=24.3 ms
64 bytes from 10.0.0.14: icmp_seq=65 ttl=64 time=24.9 ms
64 bytes from 10.0.0.14: icmp_seq=66 ttl=64 time=31.8 ms
64 bytes from 10.0.0.14: icmp_seq=67 ttl=64 time=32.4 ms
64 bytes from 10.0.0.14: icmp_seq=68 ttl=64 time=25.4 ms
64 bytes from 10.0.0.14: icmp_seq=69 ttl=64 time=26.1 ms
64 bytes from 10.0.0.14: icmp_seq=70 ttl=64 time=28.4 ms
64 bytes from 10.0.0.14: icmp_seq=71 ttl=64 time=22.9 ms
64 bytes from 10.0.0.14: icmp_seq=72 ttl=64 time=37.7 ms
64 bytes from 10.0.0.14: icmp_seq=73 ttl=64 time=22.5 ms
64 bytes from 10.0.0.14: icmp_seq=74 ttl=64 time=34.6 ms
64 bytes from 10.0.0.14: icmp_seq=75 ttl=64 time=37.9 ms
64 bytes from 10.0.0.14: icmp_seq=76 ttl=64 time=41.5 ms
64 bytes from 10.0.0.14: icmp_seq=77 ttl=64 time=28.4 ms
64 bytes from 10.0.0.14: icmp_seq=78 ttl=64 time=24.5 ms
64 bytes from 10.0.0.14: icmp_seq=79 ttl=64 time=32.0 ms
64 bytes from 10.0.0.14: icmp_seq=80 ttl=64 time=23.0 ms
64 bytes from 10.0.0.14: icmp_seq=81 ttl=64 time=26.8 ms
64 bytes from 10.0.0.14: icmp_seq=82 ttl=64 time=24.2 ms
64 bytes from 10.0.0.14: icmp_seq=83 ttl=64 time=23.6 ms
64 bytes from 10.0.0.14: icmp_seq=84 ttl=64 time=25.3 ms
64 bytes from 10.0.0.14: icmp_seq=85 ttl=64 time=23.8 ms
64 bytes from 10.0.0.14: icmp_seq=86 ttl=64 time=24.8 ms
64 bytes from 10.0.0.14: icmp_seq=87 ttl=64 time=33.1 ms
64 bytes from 10.0.0.14: icmp_seq=88 ttl=64 time=31.9 ms
64 bytes from 10.0.0.14: icmp_seq=89 ttl=64 time=28.1 ms
64 bytes from 10.0.0.14: icmp_seq=90 ttl=64 time=23.9 ms
64 bytes from 10.0.0.14: icmp_seq=91 ttl=64 time=26.7 ms
64 bytes from 10.0.0.14: icmp_seq=92 ttl=64 time=23.1 ms
64 bytes from 10.0.0.14: icmp_seq=93 ttl=64 time=23.7 ms
64 bytes from 10.0.0.14: icmp_seq=94 ttl=64 time=25.9 ms
64 bytes from 10.0.0.14: icmp_seq=95 ttl=64 time=26.6 ms
64 bytes from 10.0.0.14: icmp_seq=96 ttl=64 time=49.9 ms
64 bytes from 10.0.0.14: icmp_seq=97 ttl=64 time=27.0 ms
64 bytes from 10.0.0.14: icmp_seq=98 ttl=64 time=25.1 ms
64 bytes from 10.0.0.14: icmp_seq=99 ttl=64 time=27.3 ms
64 bytes from 10.0.0.14: icmp_seq=100 ttl=64 time=29.5 ms
64 bytes from 10.0.0.14: icmp_seq=101 ttl=64 time=32.2 ms
64 bytes from 10.0.0.14: icmp_seq=102 ttl=64 time=31.9 ms
64 bytes from 10.0.0.14: icmp_seq=103 ttl=64 time=24.9 ms
64 bytes from 10.0.0.14: icmp_seq=104 ttl=64 time=26.4 ms
64 bytes from 10.0.0.14: icmp_seq=105 ttl=64 time=25.0 ms
64 bytes from 10.0.0.14: icmp_seq=106 ttl=64 time=23.5 ms
64 bytes from 10.0.0.14: icmp_seq=107 ttl=64 time=22.6 ms
64 bytes from 10.0.0.14: icmp_seq=108 ttl=64 time=23.5 ms
64 bytes from 10.0.0.14: icmp_seq=109 ttl=64 time=23.5 ms
64 bytes from 10.0.0.14: icmp_seq=110 ttl=64 time=25.8 ms
64 bytes from 10.0.0.14: icmp_seq=111 ttl=64 time=25.8 ms
64 bytes from 10.0.0.14: icmp_seq=112 ttl=64 time=23.2 ms
64 bytes from 10.0.0.14: icmp_seq=113 ttl=64 time=28.7 ms
