mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean
lead1,zero,queue_pkts,20.873892491701255,0.023809523809523808,20.873892491701255,1.0213304764027096,84.26598100986872,0.0,0.0
lead1,zero,throughput_Mbps,1.3532390779323977,0.0018197896193311361,,,,,
lead1,zero,utilization,0.3273738223578332,1.8197896155535253e-06,,,,,
lead1,zero,rtt_ms,355.06004164301953,355.06004164301953,,,,,
lead1,persistence,queue_pkts,2.145078214009384,0.03367175148507369,2.145078214009384,1.4968566097475495,6.387487769068525,0.0007246376811594203,0.09456521739130434
lead1,persistence,throughput_Mbps,0.8371261525674433,0.002517520582852701,,,,,
lead1,persistence,utilization,0.0692768274061387,2.5175205798570087e-06,,,,,
lead1,persistence,rtt_ms,50.42664967018829,50.42664967018829,,,,,
lead1,ar1,queue_pkts,2.1449053251066172,0.023809523809523808,2.1449053251066172,1.4795639648741328,6.448030335608399,0.0007246376811594203,0.07480688847293868
lead1,ar1,throughput_Mbps,0.8009416284090761,0.0018206815776751237,,,,,
lead1,ar1,utilization,0.06899147816540298,1.819725921836713e-06,,,,,
lead1,ar1,rtt_ms,50.4152714705462,50.413943051004104,,,,,
lead1,kalman_queue,queue_pkts,3.7454995827657096,0.026540257628062083,3.7454995827657096,2.5125681390833443,11.50379141903105,0.0014492753623188406,0.19091683435895196
